# 대분류코드|대분류명|중분류코드|중분류명|소분류코드|소분류명
FD|음식|FD01|한식|FD010100|관광식당
FD|음식|FD01|한식|FD010200|모범음식점
FD|음식|FD02|외국식|FD020100|중식
FD|음식|FD02|외국식|FD020200|일식
FD|음식|FD02|외국식|FD020300|서양식
FD|음식|FD02|외국식|FD020400|기타외국식
FD|음식|FD02|외국식|FD020500|퓨전음식
FD|음식|FD03|간이음식|FD030100|제과
FD|음식|FD03|간이음식|FD030200|피자, 햄버거, 샌드위치 및 유사음식
FD|음식|FD03|간이음식|FD030300|치킨
FD|음식|FD03|간이음식|FD030400|김밥 분식
FD|음식|FD03|간이음식|FD030500|이동음식
FD|음식|FD03|간이음식|FD030600|기타간이음식
FD|음식|FD04|주점|FD040100|바/펍
FD|음식|FD04|주점|FD040200|생맥주전문점
FD|음식|FD04|주점|FD040300|클럽
FD|음식|FD04|주점|FD040400|전통주/민속주점
FD|음식|FD04|주점|FD040500|기타주점
FD|음식|FD05|카페/ 찻집|FD050100|카페
FD|음식|FD05|카페/ 찻집|FD050200|찻집
FD|음식|FD05|카페/ 찻집|FD050300|기타음료점
HS|역사관광|HS01|역사유적지|HS010100|고궁
HS|역사관광|HS01|역사유적지|HS010200|성ㆍ산성ㆍ성곽
HS|역사관광|HS01|역사유적지|HS010300|문
HS|역사관광|HS01|역사유적지|HS010400|고택
HS|역사관광|HS01|역사유적지|HS010500|생가
HS|역사관광|HS01|역사유적지|HS010600|민속마을
HS|역사관광|HS01|역사유적지|HS010700|사적지
HS|역사관광|HS01|역사유적지|HS010800|고분, 능
HS|역사관광|HS01|역사유적지|HS010900|사당
HS|역사관광|HS01|역사유적지|HS011000|선사유적지
HS|역사관광|HS01|역사유적지|HS011100|근대건축물
HS|역사관광|HS01|역사유적지|HS011200|기타역사유적지
HS|역사관광|HS02|역사유물|HS020100|탑ㆍ비석ㆍ기념탑
HS|역사관광|HS02|역사유물|HS020200|선사유물
HS|역사관광|HS02|역사유물|HS020300|불상
HS|역사관광|HS02|역사유물|HS020400|기타역사유물
HS|역사관광|HS03|종교성지|HS030100|불교
HS|역사관광|HS03|종교성지|HS030200|기독교
HS|역사관광|HS03|종교성지|HS030300|이슬람
HS|역사관광|HS03|종교성지|HS030400|기타 종교성지
HS|역사관광|HS04|안보관광지|HS040100|안보유적지
HS|역사관광|HS04|안보관광지|HS040200|안보관광시설
HS|역사관광|HS04|안보관광지|HS040300|북한관광지
HS|역사관광|HS04|안보관광지|HS040400|기타안보관광지
NA|자연관광|NA01|자연경관(산)|NA010100|산, 고개, 오름, 봉우리
NA|자연관광|NA01|자연경관(산)|NA010200|숲
NA|자연관광|NA01|자연경관(산)|NA010300|폭포
NA|자연관광|NA01|자연경관(산)|NA010400|계곡
NA|자연관광|NA01|자연경관(산)|NA010500|약수터
NA|자연관광|NA02|자연경관(하천‧해양)|NA020100|강
NA|자연관광|NA02|자연경관(하천‧해양)|NA020200|호수
NA|자연관광|NA02|자연경관(하천‧해양)|NA020300|저수지
NA|자연관광|NA02|자연경관(하천‧해양)|NA020400|연못·늪
NA|자연관광|NA02|자연경관(하천‧해양)|NA020500|섬
NA|자연관광|NA02|자연경관(하천‧해양)|NA020600|염전
NA|자연관광|NA02|자연경관(하천‧해양)|NA020700|항구/포구
NA|자연관광|NA02|자연경관(하천‧해양)|NA020800|해안절경
NA|자연관광|NA02|자연경관(하천‧해양)|NA020900|해변. 해수욕장
NA|자연관광|NA03|자연생태|NA030100|동굴
NA|자연관광|NA03|자연생태|NA030200|희귀동.식물
